'a'bu'ha 阿布哈
'ma'si'ta'ke'meng 马斯塔克蒙
'ma'te'ya'si 马特亚斯
'ma'ti'si'ta 玛提斯塔
'ma'wu'na'si 玛乌纳斯
'ma'yi'la 马伊拉
'ma'zha'ke 玛扎克
'mai'chong'bo 脉冲波
'mai'chong'she'bei 脉冲设备
'man'na'ge 曼那格
'mao'yi 贸易
'mao'yi'guan'xi'xue 贸易关系学
'mao'yi'xue 贸易学
'mei'ci'rui 梅茨瑞
'mei'ni'ge'fu 梅尼格夫
'mei'te'bo'li'si 美特伯里斯
'mei'ti'xue 媒体学
'meng'gui'ji 猛鲑级
'mi'ci'lun 密茨伦
'mi'feng 蜜蜂
'mi'fu'la'ta 米弗拉塔
'mi'lu 米鲁
'mi'ma'ta'er 米玛塔尔
'mi'ma'ta'er'gong'ye'jian'cao'zuo'li'lun 米玛塔尔工业舰操作理论
'mi'ma'ta'er'hai'jun'tiao'li 米玛塔尔海军条例
'mi'ma'ta'er'hang'kong'mu'jian'cao'zuo'ji'shu 米玛塔尔航空母舰操作技术
'mi'ma'ta'er'hu'wei'jian'cao'zuo'li'lun 米玛塔尔护卫舰操作理论
'mi'ma'ta'er'huo'jian'cao'kong'li'lun 米玛塔尔货舰操控理论
'mi'ma'ta'er'ke'ji 米玛塔尔科技
'mi'ma'ta'er'tai'tan'yan'jiu 米玛塔尔泰坦研究
'mi'ma'ta'er'wu'ren'ji'zhuan'ye'yan'jiu 米玛塔尔无人机专业研究
'mi'ma'ta'er'wu'wei'ji'zhan'jian'cao'zuo'li'lun 米玛塔尔无畏级战舰操作理论
'mi'ma'ta'er'xing'jian'gong'cheng'xue 米玛塔尔星舰工程学
'mi'ma'ta'er'xun'yang'jian'cao'zuo'li'lun 米玛塔尔巡洋舰操作理论
'mi'ma'ta'er'zhan'lie'jian'cao'zuo'li'lun 米玛塔尔战列舰操作理论
'mi'meng 米蒙
'mi'mi'mei 米迷梅
'mi'mi'xi'ya 米米西亚
'mi'na'en 米呐恩
'mi'sai 米赛
'mi'se'yue'ya 米瑟约亚
'mi'si'lie'deng 密斯列登
'mi'wo'la 米沃拉
'miao'tiao 秒跳
'mo'bi'tei 莫比忒
'mo'ci 莫茨
'mo'deng'he'si 摩登赫斯
'mo'dun 默顿
'mo'fa 莫伐
'mo'ha'se 莫哈瑟
'mo'ka'shen'ta'de 莫卡什塔德
'mo'ri'wu'qi'cao'zuo'ji'shu 末日武器操作技术
'mo'sha'si 莫莎斯
'mo'ti'de 莫提德
'mo'ya 摩亚
'mu'ben'lv 木本吕
'mu'biao'biao'ji'xun'lian 目标标记训练
'mu'biao'dao'hang'yu'ce'xue 目标导航预测学
'mu'jian 母舰
'mu'wo'lai'lun 姆沃莱伦
'mu'xing'fang'yu'kong'zhi'guan'li 母星防御控制管理
'mu'xing'guan'li 母星管理
'na'di're 纳迪惹
'na'fu'li'wei'ke 纳夫李维克
'na'fu'mei 纳夫梅
'na'ji'de 纳基德
'na'jia'sai'ken 纳伽赛肯
'na'ka'he 纳卡赫
'na'mi'kong'zhi'lun 纳米控制论
'na'se'sha'la'fa 纳瑟沙拉法
'na'shen'lin 那什林
'na'xia 纳夏
'na'ze'ge'te 纳泽格特
'ne'he'ji'ya 讷赫吉亚
'nei'fan'da 内凡达
'neng'li'xue 能力学
'neng'liang'chuan'shu'tian'xian 能量传输天线
'neng'liang'fang'hu'zhao 能量防护罩
'neng'liang'hu'dun'bu'chang'yan'jiu 能量护盾补偿研究
'neng'liang'hu'dun'cao'kong'li'lun 能量护盾操控理论
'neng'liang'hu'dun'gai'zao'ji'shu 能量护盾改造技术
'neng'liang'hu'dun'guan'li 能量护盾管理
'neng'liang'hu'dun'pin'san'xi'tong'yan'jiu 能量护盾频散系统研究
'neng'liang'hu'dun'ti'sheng'li'lun 能量护盾提升理论
'neng'liang'mai'chong'wu'qi'gai'lun 能量脉冲武器概论
'neng'liang'rao'duan'she'bei 能量扰断设备
'neng'liang'san'fa'xi'tong'yan'jiu 能量散发系统研究
'neng'liang'wu'qi 能量武器
'neng'liang'wu'qi'gai'zhuang'ji'shu 能量武器改装技术
'neng'liang'xi'shi'she'bei 能量吸食设备
'neng'liang'xi'tong'cao'kong'xue 能量系统操控学
'ni'er'bi 尼尔比
'ni'ke 尼克
'ni'ke'su'si 尼克苏斯
'ni'man'ba'er 尼曼巴尔
'ni'ya'bai'lun 尼亚拜伦
'ning'huan'ji 狞獾级
'ning'jing'zhi'yu 宁静之域
'nong'suo'he'jin 浓缩合金
'nong'suo'zhuo'shao'yan 浓缩灼烧岩
'nu'er'wa'kai'ken 努尔瓦凯肯
'nu'zha'yi'er 努扎义尔
'nuo'gao 诺高
'nuo'ma'er 诺玛尔
'nuo'mo 诺莫
'nuo'suo'de'ni'si 诺索德尼斯
'ou'bei 欧贝
'ou'deng'suo'fu 欧登索夫
'ou'di'bo 欧迪博
'ou'di'li'si 欧迪里斯
'ou'er'da'te 欧尔达特
'ou'er'wa 欧尔瓦
'ou'jia'ba'ri 欧加巴日
'ou'ke'la 欧克拉
'ou'ke'le'en 欧克勒恩
'ou'ke'meng 欧柯蒙
'ou'ku'lun 欧库仑
'ou'la'nie'nei 欧拉涅内
'ou'luo 欧罗
'ou'na'ze'er 欧纳泽尔
'ou'nuo 欧诺
'ou'si'meng 欧斯蒙
'ou'ta'mai'lun 欧塔迈伦
'ou'ta'nuo'mi 欧塔诺米
'ou'ta'tuo 欧塔托
'ou'te'se'la 欧特色拉
'ou'ti'tuo 欧提托
'ou'tu'ni 欧图尼
'ou'yi'ci'ya 欧伊茨亚
'ou'yi'ni'ken 欧伊尼肯
'ou'yue'lun 欧约伦
'pa'er'la 帕尔拉
'pa'la 帕拉
'pa'lu'de 帕鲁德
'pa'nuo'la'de 帕诺拉德
'pa'sa'sha 帕萨沙
'pao'pao 泡泡
'pao'shu 炮术
'pao'ta'fan'wen'ding'dui'kang'li'lun 炮塔反稳定对抗理论
'pei'ge'si 佩戈斯
'pei'ke'ang'ji'tuan 佩克昂集团
'pei'la 佩腊
'pei'ting'ke 佩汀克
'pei'xun 培训
'pei'ye 培耶
'pi'er'dan 皮尔丹
'pi'er'mi'te 皮尔米特
'pi'fa'xiao'shou'ji'qiao 批发销售技巧
'pi'liang'sheng'chan'xue 批量生产学
'pi'luo'xi'ding 皮洛西丁
'pi'mei'bei'ka 皮梅北卡
'pi'ta'nen 皮塔嫩
'pian'ma'yan'chu'li'ji'shu 片麻岩处理技术
'pian'pian 片片
'pian'zhen'guang'shu 偏振光束
'pin'lv'jing'ti 频率晶体
'pin'lv'tiao'zhi'li'lun 频率调制理论
'pin'you'dan 贫铀弹
'po'sui'xing'yu 破碎星域
'pu'er'qiao'la 普尔乔拉
'pu'lin 普林
'pu'luo'wei'deng'si 普罗维登斯
'pu'mu'suo 普姆索
'qi'jian'ji'chuan'zhi'jian'zao'li'lun 旗舰级船只建造理论
'qi'jian'ji'hun'he'pao'tai'yan'jiu 旗舰级混合炮台研究
'qi'jian'ji'jian'chuan'yan'jiu 旗舰级舰船研究
'qi'jian'ji'neng'liang'hu'dun'cao'kong'li'lun 旗舰级能量护盾操控理论
'qi'jian'ji'neng'liang'hu'dun'pin'san'xi'tong'yan'jiu 旗舰级能量护盾频散系统研究
'qi'jian'ji'neng'liang'pao'tai'yan'jiu 旗舰级能量炮台研究
'qi'jian'ji'neng'liang'san'fa'xi'tong'yan'jiu 旗舰级能量散发系统研究
'qi'jian'ji'she'dan'pao'tai'yan'jiu 旗舰级射弹炮台研究
'qi'jian'ji'wei'xiu'xi'tong'yan'jiu 旗舰级维修系统研究
'qi'jian'ji'yuan'ju'zhuang'jia'xiu'li'ji'shu 旗舰级远距装甲修理技术
'qi'jian'li'lun 旗舰理论
'qi'ti'cai'ji'li'lun 气体采集理论
'qi'ye'guan'li'xue 企业管理学
'qi'yun'cai'ji'li'lun 气云采集理论
'qian'zhi 铅质
'qiao'fa'en 乔法恩
'qiao'na'er 乔纳尔
'qiao'ni'nuo'er 乔尼诺尔
'qiao'sa'mi'tuo 乔萨密陀
'qiao'si 乔斯
'qing'bao'fen'xi'xue 情报分析学
'qing'dian'chi 氢电池
'qing'xi'gan'zhi'li'xun'lian 清晰感知力训练
'qu'su 曲速
'qu'su'yue'jin'gan'rao'tan'zhen 曲速跃进干扰探针
'quan'kang 全抗
'quan'xi'ji'yi'pan 全息记忆盘
'ran'liao'xiao'hao'xiao'lv'li'lun 燃料消耗效率理论
're'neng'hu'dun'bu'chang'yan'jiu 热能护盾补偿研究
're'neng'zhuang'jia'bu'chang'li'lun 热能装甲补偿理论
'ren'wu'dang 任务党
'ri'la 日旯
'rong'liu'leng'ning'wu 熔流冷凝物
'rui'di'ma 瑞蒂玛
'rui'la'mi'ya 瑞拉米娅
'sa'ba'tuo'bu 萨巴托布
'sa'ji'kai'lun 萨基凯伦
'sa'jia'lan 萨贾兰
'sa'jia'yin 萨伽因
'sa'kan'lan 萨坎兰
'sa'le'ku'wa 撒了库瓦
'sa'li 萨里
'sa'mi'ni'er 萨米尼尔
'sa'na'yi 萨娜伊
'sa'si'ta 萨斯塔
'sa'teng'pa 萨藤帕
'sai'la 塞拉
'sai'ta'de'er 赛塔德洱
'sai'xi'ao 赛西奥
'san'jiao'ce'liang'xue 三角测量学
'san're'cao 散热槽
'san'tai'he'jin 三钛合金
'sao'miao'tan'zhen 扫描探针
'se'la'de 瑟拉德
'se'mi'ji 瑟米吉
'se'mo 瑟莫
'se'mo'shen 瑟莫什
'se'sha'te 瑟沙特
'se'yi'er 瑟依尔
'sen'da'ya 森达雅
'sha'che 莎彻
'sha'la 莎拉
'sha'lu'wei'er 沙鲁维尔
'sha'ma'xi 沙玛希
'sha'ri'er 沙日耳
'sha'rui'ou'si 莎瑞欧斯
'shan'ci'di 姗茨迪
'shan'ma'ta'er 姗玛塔尔
'shang'hai'kong'zhi 伤害控制
'shang'jin'lie'ren'shou'ce 赏金猎人手册
'shao'zhan'jian'zao'yan'jiu 哨站建造研究
'she'dan'wu'qi'gai'zhuang'ji'shu 射弹武器改装技术
'she'duo 舍多
'she'hui 社会
'she'hui'xue 社会学
'she'ji'xue 射击学
'she'jiao'neng'li'xue 社交能力学
'she'le'la 舍勒拉
'she'te 舍特
'shen'he'kai'cai'fa'yan'jiu 深核开采法研究
'shen'hu'ken 什胡肯
'shen'ji'an'quan'mi'ma'ji'zhuang'xiang 审计安全密码集装箱
'shen'jing'chong'ji 神经冲击
'shen'jing'du'hua'di'kang'li'lun 神经毒化抵抗理论
'shen'jing'ti'dong'li'wu'li'xue 神经体动力物理学
'sheng'chan'guan'li'xue 生产管理学
'sheng'chan'xiao'lv'xue 生产效率学
'sheng'wu'xue 生物学
'shi'chang'guan'ce'li'lun 市场观测理论
'shi'chang'xue 市场学
'shi'fang'qi 释放器
'shi'jiu'ji 狮鹫级
'shi'yan'shi'wei'kong'li'lun 实验室维控理论
'shi'yao'ji 狮妖级
'shou'ge 收割
'shou'kong'mai'chong'li'lun 受控脉冲理论
'shou'xi'ke'yan'guan'pei'xun 首席科研官培训
'shu'la'sa'na 舒拉撒拿
'shu'si'ran 舒斯然
'shuang'duo'te'chu'li'ji'shu 双多特处理技术
'shuang'duo'te'shi 双多特石
'shuang'tong'dao 双通道
'shui'guo 水果
'shui'peng'sha 水硼砂
'shui'peng'sha'chu'li'ji'shu 水硼砂处理技术
'si'ku'wei'ta'ji'tuan 斯库维塔集团
'si'le'en 斯勒恩
'si'ta'da'ke'long 斯塔达克隆
'si'wei'pa 斯维帕
'su'bi 苏比
'su'cha 苏查
'su'ma 苏马
'su'pa'yi'en 素帕伊恩
'su'si'sa'yi'er 苏斯撒伊尔
'su'zhuang'gong'ye 速装工业
'sui'tie'chu'li'ji'shu 碎铁处理技术
'sun'guan 损管
'suo'ba'se'ji 索巴色基
'suo'di'ji'suan'ji 索敌计算机
'suo'di'rao'duan'qi 索敌扰断器
'suo'mi 索米
'suo'sa 索萨
'suo'sha'li'er 索沙里尔
'suo'shen'en 索什恩
'suo'te'ta'yi'la 所特塔伊拉
'ta'da'wen 塔达文
'ta'ke'ma'ke'ji 塔克玛科技
'ta'lu 塔鲁
'ta'luo'jia'ji'shu'yan'jiu 塔洛迦技术研究
'ta'sa'bi'shen 塔萨比什
'ta'se'ti 塔瑟提
'ta'shen'ka'lai 塌什喀莱
'ta'shen'meng'gong'zhong'xin 塔什蒙贡中心
'ta'shen'mo'gong 塔什莫贡
'tai'er'rui'er 泰尔瑞尔
'tai'he'jin'sa'bo'dan 钛合金萨博弹
'tai'kong'ce'liang'xue 太空测量学
'tai'tan 泰坦
'tai'tan'jian'zao'yuan'li 泰坦建造原理
'tan'hua'fei'er'nai're'he'jin 碳化菲尔耐热合金
'tan'hua'tai 碳化钛
'tan'hua'wu 碳化钨
'tan'ke'chuan 坦克船
'tan'ou 坦欧
'tan'pan'ji'qiao'li'lun 谈判技巧理论
'tan'qian'dan 碳铅弹
'tan'suo'dang 探索党
'tao'sheng'cang 逃生舱
'te'bu'te'xing'yu 特布特星域
'te'shu'jiao'yi'ji'qiao 特殊交易技巧
'te'zhong'yun'shu'ji'qiao 特种运输技巧
'tei'shen'ka'te 忒什卡特
'tei'you 忒尤
'teng'di'ye'si 腾迪耶斯
'ti'da'cha 提达查
'ti'er'ban 提尔班
'ti'wei'du 提为度
'tian'kong'di'zhi'xue 天空地质学
'tian'she'ji'tuan'jia'mi'ji'shu'yuan'li 天蛇集团加密技术原理
'tian'shi'jia'mi'ji'shu'yuan'li 天使加密技术原理
'tiao'yue'tong'dao'fa'sheng'xue 跳跃通道发生学
'tiao'yue'yin'qing'cao'kong'li'lun 跳跃引擎操控理论
'tiao'yue'yin'qing'jiao'dui'li'lun 跳跃引擎校对理论
'tiao'yue'yin'qing'neng'hao'xiao'lv'yan'jiu 跳跃引擎能耗效率研究
'tie'ci'liu'ti 铁磁流体
'tie'qi'jian'zai'ji'cao'kong'li'lun 铁骑舰载机操控理论
'ting'zhi'chan'rao'guang'shu 停滞缠绕光束
'tong'he'guan'xi'bu'yan'jiu 统合关系部研究
'tong'wei'ju'he'ti 同位聚合体
'tong'wei'yuan'kuang 同位原矿
'tong'wei'yuan'kuang'chu'li'ji'shu 同位原矿处理技术
'tong'yong'yun'shu'xue 通用运输学
'tou'cha 头插
'tou'ji'ji'qiao'xun'lian 投机技巧训练
'tou'piao'dang 投票党
'tou'she'wu'qi 投射武器
'tu'ji'jian 突击舰
'tu'ji'jian'gai'lun 突击舰概论
'tu'jiu'ji 秃鹫级
'tu'wu'rui'na 图乌瑞纳
'tu'zhi 钍质
'tui'jin'gan'rao'wu'ren'ji'jie'kou'ji'shu 推进干扰无人机接口技术
'tui'jin'ji'yue'qian'neng'li'yan'jiu 推进及跃迁能力研究
'tui'jin'wen'ding'neng'li'yan'jiu 推进稳定能力研究
'tui'jin'zu'rao'li'lun 推进阻扰理论
'tui'jin'zu'rao'yan'jiu 推进阻扰研究
'tui'jin'zu'rao'zui'jia'ju'li'yan'jiu 推进阻扰最佳距离研究
'tun'ta'la'si 吞塔拉斯
'tuo'le'ke'si'ji 托勒克斯级
'wa'an'ka'lun 瓦安卡伦
'wa'er'jia'ta 瓦尔加塔
'wa'er'wa'lin 瓦尔瓦林
'wa'hu'nuo'mi 瓦胡诺米
'wa'sa'la 瓦萨拉
'wa'tuo'lun 瓦托伦
'wa'wu'er'te 瓦乌尔特
'wai'jiao'xue 外交学
'wai'ke'shou'shu'da'ji'gai'lun 外科手术打击概论
'wai'tuo'ke 崴砣柯
'wan'ze'yin 万泽因
'wei'bo'jing'ti 微波晶体
'wei'da'du'er 维达杜尔
'wei'er'ai'le 维尔埃勒
'wei'ge'wen'duo 维格温铎
'wei'la'de 维拉德
'wei'la'xi'da 维拉希达
'wei'le'kui'te 维勒奎特
'wei'qu 微曲
'wei'si'tuo 维斯拖
'wei'xing'qu'yue'tui'jin'qi 微型曲跃推进器
'wei'xiu'wu'ren'ji'cao'kong'li'lun 维修无人机操控理论
'wei'xiu'xi'tong'li'lun 维修系统理论
'wen'ding'she'bei 稳定设备
'wen'ka 温卡
'wen'nu'si 温努斯
'wen'te'fa 温特法
'wo'si'ji'ao 沃斯基奥
'wu'bi'te'si 乌比特斯
'wu'cha'shen 乌查什
'wu'en'pa'si 乌恩帕斯
'wu'er'lun 乌尔仑
'wu'he'duo 乌赫多
'wu'ka'lun 乌卡伦
'wu'ke'mi'chao'dao'ti 乌克米超导体
'wu'ma'man 乌玛曼
'wu'mi'na'si 乌米纳斯
'wu'mi'xia'yi'sen 乌米夏伊森
'wu'ou'si 乌欧斯
'wu'ou'su'suo'ke 乌欧苏索科
'wu'qi'gan'rao'yan'jiu 武器干扰研究
'wu'qi'jie'kou'yan'jiu 武器接口研究
'wu'qi'sheng'ji'yan'jiu 武器升级研究
'wu'ren'ji 无人机
'wu'ren'ji'dao'hang'li'lun 无人机导航理论
'wu'ren'ji'gai'lun 无人机概论
'wu'ren'ji'gai'zhuang'ji'shu 无人机改装技术
'wu'ren'ji'gua'cang 无人机挂舱
'wu'ren'ji'kong'zhi'li'lun 无人机控制理论
'wu'ren'ji'kong'zhi'she'bei 无人机控制设备
'wu'ren'ji'she'ji'li'lun 无人机射击理论
'wu'ren'ji'xiao'neng'yan'jiu 无人机效能研究
'wu'ren'ji'yun'shu'ji'qiao 无人机运输技巧
'wu'ren'ji'zhan'dou'cao'kong 无人机战斗操控
'wu'ren'ji'zhen'cha'li'lun 无人机侦查理论
'wu'sa'sai 乌萨塞
'wu'si'luo 乌斯洛
'wu'te'la 乌特拉
'wu'ti'la 乌提拉
'wu'wei'jian 无畏舰
'wu'ya'ji 乌鸦级
'wu'zhi 钨质
'wu'zi'si'tu'en 乌兹斯图恩
'xi'bi 西比
'xi'dun 西顿
'xi'er'se'xin 希尔瑟新
'xi'er'ta'meng 希尔塔蒙
'xi'ka'ta 西卡塔
'xi'la'ban 希拉班
'xi'ma'te'er 西玛特尔
'xi'mo'fei'te 希莫非特
'xi'mo'fei'te'chu'li'ji'shu 希莫非特处理技术
'xi'si 西斯
'xi'tu'ju 稀土钜
'xi'yi 希伊
'xi'zha'mo'de 希扎莫德
'xiang'wei'bian'ji'qi 相位变极器
'xiang'zi 箱子
'xiao'lin 小林
'xiao'ma 小马
'xiao'shi'zuo 小市座
'xiao'tuo 小托
'xiao'xing'ci'gui'pao'zhuan'ye'yan'jiu 小型磁轨炮专业研究
'xiao'xing'hun'he'pao'tai'yan'jiu 小型混合炮台研究
'xiao'xing'huo'pao'zhuan'ye'yan'jiu 小型火炮专业研究
'xiao'xing'ji'shu'ji'guang'zhuan'ye'yan'jiu 小型集束激光专业研究
'xiao'xing'ji'su'pao'zhuan'ye'yan'jiu 小型疾速炮专业研究
'xiao'xing'mai'chong'ji'guang'zhuan'ye'yan'jiu 小型脉冲激光专业研究
'xiao'xing'neng'liang'pao'tai'yan'jiu 小型能量炮台研究
'xiao'xing'she'dan'pao'tai'yan'jiu 小型射弹炮台研究
'xiao'xing'zi'dong'jia'nong'pao'zhuan'ye'yan'jiu 小型自动加农炮专业研究
'xiao'ying'ji 小鹰级
'xie'chang'yan'chu'li'ji'shu 斜长岩处理技术
'xie'er'sha 谢尔沙
'xin'di 辛迪
'xin'dong'pin'dao 心动频道
'xin'gong'hua 新汞化
'xin'hao'bu'zhuo'li'lun 信号捕捉理论
'xin'hao'fen'xi'xue 信号分析学
'xin'hao'ju'jiao'yan'jiu 信号聚焦研究
'xin'hao'pin'san'xue 信号频散学
'xin'hao'ya'zhi'yuan'li 信号压制原理
'xin'ka'da'li 新卡达利
'xin'xi'zhan'li'lun 信息站理论
'xin'xi'zhan'zhuan'ye'yan'jiu 信息战专业研究
'xing'jian'yun'shu'ji'qiao 星舰运输技巧
'xing'men 星门
'xing'yu 星域
'xing'zheng'guan'xi'xue 行政关系学
'xue'xi 学习
'xue'xi'zhe 血袭者
'xue'xi'zhe'jia'mi'ji'shu'yuan'li 血袭者加密技术原理
'xue'zhao 血爪
'xun'hang'dao'dan'gai'lun 巡航导弹概论
'xun'hang'dao'dan'zhuan'ye'yan'jiu 巡航导弹专业研究
'xun'yang'jian'zhi'zao'yuan'li 巡洋舰制造原理
'ya'di 亚蒂
'ya'ma'si 亚玛斯
'ya'nu'er 亚努尔
'ya'su'de 雅素德
'yan'jiu'gai'lun 研究概论
'yan'jiu'gong'cheng'guan'li'xue 研究工程管理学
'yan'jun'li'lun'yan'jiu 燕军理论研究
'yang'ge 杨格
'yao'kong'jie'kou'yan'jiu 遥控接口研究
'yao'kong'wei'xiu'zhan'cao'kong'li'lun 遥控维修站操控理论
'yao'kong'zhuang'jia'wei'xiu'xi'tong'yan'jiu 遥控装甲维修系统研究
'yao'pin'zhi'bei 药品制备
'yao'yan'li'chang 耀眼力场
'ye'de'er 耶德尔
'ye'jin'xue 冶金学
'ye'ke'ti 耶克提
'ye'man 耶曼
'ye'si'ta'dan 耶斯塔但
'ye'ya'ma 耶雅玛
'ye'ze'er 耶泽尔
'yi'ba'li'ya 伊巴利亚
'yi'chuan'gong'cheng'xue 遗传工程学
'yi'dong'gong'chang'cao'kong'li'lun 移动工厂操控理论
'yi'dong'jing'lian'chang'cao'kong'li'lun 移动精炼厂操控理论
'yi'en'ao'si'ta 伊恩奥斯塔
'yi'er'en'ta 以尔恩塔
'yi'ge'nuo'yi'dun 伊格诺伊顿
'yi'ha'er 伊哈尔
'yi'ha'kan'na 以哈坎拿
'yi'ha'ta'luo 以哈塔罗
'yi'jia'xi 伊加西
'yi'ka'mi 伊卡密
'yi'ke'xi'le 抑柯锡乐
'yi'ku'qi 伊库奇
'yi'la'he'de 伊拉赫德
'yi'la'se 伊拉瑟
'yi'lie'sha 伊列莎
'yi'lu'ka 伊卢卡
'yi'luo 伊洛
'yi'mei'sha'sa 伊梅沙撒
'yi'mu'lu'ka 伊姆鲁卡
'yi'sen'na'luo'si 伊森纳洛斯
'yi'shen'nong 伊什农
'yi'shen'suo'meng 伊什索蒙
'yi'shen'ta 伊什塔
'yi'shi'ka'de 伊始卡德
'yi'si'ke'mi 伊斯科米
'yi'si'ta'ka 伊斯塔卡
'yi'si'wa 伊斯瓦
'yi'suo'ma 伊索马
'yi'ta'mo 伊塔莫
'yi'wan'na'te 伊万纳特
'yi'wei'he 伊维赫
'yi'xi'la'ken 伊西拉肯
'yi'zhi 铱质
'yi'zhi'li'xun'lian 意志力训练
'yi'zhu'hu 异株湖
'yi'zu'she'bei 抑阻设备
'yin'ke'mu 因科姆
'yin'li'ji 引力计
'yin'li'zi'wu'li'xue 引力子物理学
'yin'na'ya 因纳亚
'yin'shen'she'bei 隐身设备
'yin'xing'li'lun'yan'jiu 隐形理论研究
'you'an'zhi'yu 幽暗之域
'you'dao'li'chang'li'lun'yan'jiu 诱导力场理论研究
'you'duo'fo 尤多佛
'you'hai'wu'zhi'yun'shu'yan'jiu 有害物质运输研究
'you'ji'zhan'li'lun 游击战理论
'you'ji'zhan'zhuan'ye'yan'jiu 游击战专业研究
'you'jie'di 尤杰迪
'you'ling'jiu 幽灵酒
'you'meng 尤蒙
'you'pu'lin'gu'er 尤普林古尔
'you'si'ku'lun 尤斯库仑
'you'zhi 铀质
'yu'lei'fa'she'qi 鱼雷发射器
'yu'lei'gai'lun 鱼雷概论
'yu'lei'zhuan'ye'yan'jiu 鱼雷专业研究
'yu'ying'ji 鱼鹰级
'yuan'cai'liao'yun'shu'ji'qiao 原材料运输技巧
'yuan'ju'gan'rao'xue 远距干扰学
'yuan'ju'suo'di'yan'jiu 远距锁敌研究
'yue'qian'dao'hang'xue 跃迁导航学
'yue'qian'he'xin'wen'ding'qi 跃迁核心稳定器
'yue'qian'rao'duan'qi 跃迁扰断器
'yue'qian'rao'pin'qi 跃迁扰频器
'yue'qian'te'xiao 跃迁特效
'yue'qian'yin'qing'cao'kong'ji'chu 跃迁引擎操控基础
'yue'qian'zu'rao'she'bei 跃迁阻扰设备
'yun'shu'jian'cao'zuo'li'lun 运输舰操作理论
'ze'hu'lu 泽胡鲁
'ze'ma'lu 泽玛鲁
'ze'meng'te 泽蒙特
'ze'te 泽特
'zha'de 扎得
'zha'er'du 扎尔杜
'zhan'lie'jian'zhi'zao'yuan'li 战列舰制造原理
'zhan'lie'xun'yang'jian 战列巡洋舰
'zhan'lie'xun'yang'jian'gai'lun 战列巡洋舰概论
'zhan'shu'neng'liang'hu'dun'cao'kong'xue 战术能量护盾操控学
'zhan'shu'wu'qi'pei'zhi'li'lun 战术武器配置理论
'zhan'zhang 站长
'zhen'cha'jian'ji'chu'li'lun 侦查剑基础理论
'zhen'duan'jie'kou'yan'jiu 诊断接口研究
'zheng'zhi'guan'xi'xue 政治关系学
'zhi'dao'dao'dan'jing'que'da'ji'li'lun 制导导弹精确打击理论
'zhi'hui'jian'ji'shu 指挥舰技术
'zhi'zi'dan 质子弹
'zhong'gong 重攻
'zhong'xi 重吸
'zhong'xing'ci'gui'pao'zhuan'ye'yan'jiu 中型磁轨炮专业研究
'zhong'xing'dao'dan'gai'lun 重型导弹概论
'zhong'xing'dao'dan'zhuan'ye'yang'jiu 重型导弹专业洋酒
'zhong'xing'gong'ji'dao'dan'gai'lun 重型攻击导弹概论
'zhong'xing'gong'ji'dao'dan'zhuan'ye'yan'jiu 重型攻击导弹专业研究
'zhong'xing'hun'he'pao'tai'yan'jiu 中型混合炮台研究
'zhong'xing'huo'pao'zhuan'ye'yan'jiu 中型火炮专业研究
'zhong'xing'ji'shu'ji'guang'zhuan'ye'yan'jiu 中型集束激光专业研究
'zhong'xing'ji'su'pao'zhuan'ye'yan'jiu 中型疾速炮专业研究
'zhong'xing'mai'chong'ji'guang'zhuan'ye'yan'jiu 中型脉冲激光专业研究
'zhong'xing'neng'liang'pao'tai'yan'jiu 中型能量炮台研究
'zhong'xing'she'dan'pao'tai'yan'jiu 中型射弹炮台研究
'zhong'xing'tu'ji'jian'cao'zuo'li'lun 重型突击舰操作理论
'zhong'xing'wu'ren'ji'cao'kong'li'lun 重型无人机操控理论
'zhong'xing'zi'dong'jia'nong'pao'zhuan'ye'yan'jiu 中型自动加农炮专业研究
'zhong'zu'guan'xi'xue 种族关系学
'zhu'bi'te 朱庇特
'zhu'bi'te'gong'ye'jian'cao'zuo'li'lun 朱庇特工业舰操作理论
'zhu'bi'te'hu'wei'jian'cao'zuo'li'lun 朱庇特护卫舰操作理论
'zhu'bi'te'xun'yang'jian'cao'zuo'li'lun 朱庇特巡洋舰操作理论
'zhu'bi'te'zhan'lie'jian'cao'zuo'li'lun 朱庇特战列舰操作理论
'zhu'de'la 朱德拉
'zhu'di 朱迪
'zhu'dian'qi 注电器
'zhuan'lu'wei'kong'qi 转录微控器
'zhuan'yi'neng'li'xun'lian 专毅能力训练
'zhuang'jia'bu'li'yin'su'yan'jiu 装甲不利因素研究
'zhuang'jia'fu'liao 装甲覆料
'zhuang'jia'xi'tong'gai'zhuang'ji'shu 装甲系统改装技术
'zhuang'jia'xiu'fu'she'bei 装甲修复设备
'zhuang'jia'xiu'fu'tou'she'she'bei 装甲修复投射设备
'zhuang'jia'zeng'qiang'qi 装甲增强器
'zhuang'jia'zhan'li'lun 装甲战理论
'zhuang'jia'zhan'zhuan'ye'yan'jiu 装甲战专业研究
'zhuo'shao'yan 灼烧岩
'zhuo'shao'yan'chu'li'ji'shu 灼烧岩处理技术
'zi'dong'suo'di'xi'tong 自动锁敌系统
'zi'wai'jing'ti 紫外晶体
