'nian'duo'tang 粘多糖
'yi'suo'er'ya'liu'suan'na 一缩二亚硫酸钠
'yi'suo'zuo'an 依索唑胺
'yi'ta'lin 异他林
'yi'tang 饴糖
'yi'tang'ping 益糖平
'yi'ti'ka'yin 依替卡因
'yi'ti'lin'suan 依替膦酸
'yi'tong'shu 伊痛舒
'yi'tuo'fen'na'zhi 依托芬那酯
'yi'tuo'li'ding 依托利定
'yi'tuo'liu'an 依托柳胺
'yi'tuo'mi'zhi'zhi'fang'ru 依托咪酯脂肪乳
'yi'tuo'ni'qin 依托尼秦
'yi'wei 益胃
'yi'wen'si'lan 依文思蓝
'yi'xi'bi'tuo 乙烯比妥
'yi'xi'ci'chun 乙烯雌醇
'yi'xi'ci'fen 乙烯雌酚
'yi'xi'cu'suan'yi'xi'gong'ju'wu 乙烯醋酸乙烯共聚物
'yi'xi'pen'di 异西喷地
'yi'xi'suan'pen'ta'mi 依西酸喷他脒
'yi'xi'suan'qiang'qi'ba'mi 依西酸羟芪巴脒
'yi'xi'suan'si'ti'ba'mi 依西酸司替巴脒
'yi'xian 医痫
'yi'xian'a'fa'jia'ji'fen'tai'ni 乙酰阿法甲基芬太尼
'yi'xian'ben'an 乙酰苯胺
'yi'xian'bing'qin 乙酰丙嗪
'yi'xian'dan'jian 乙酰胆碱
'yi'xian'hu'jiao'yi'an 乙酰胡椒乙胺
'yi'xian'huang'an'yi'e'zuo 乙酰磺胺异噁唑
'yi'xian'ka'ni 乙酰卡尼
'yi'xian'luo'sha'ti'ding 乙酰罗沙替丁
'yi'xian'shen'an 乙酰胂胺
'yi'xian'shui'yang'suan'yun'xi'nuo 乙酰水杨酸孕烯诺
'yi'xian'yang'ji'ben'jia'suan 乙酰氧基苯甲酸
'yi'xian'zuo'an'na 乙酰唑胺钠
'yi'xiang'dang'hong 益香当红
'yi'xin 益心
'yi'xin'ba'di'ran'ji'bu'ya 益心巴迪然吉布亚
'yi'xin'chu'shi'zhi'tong 薏辛除湿止痛
'yi'xin'fu'mai 益心复脉
'yi'xin'jian'pi 益心健脾
'yi'xin'kang 彝心康
'yi'xin'kang 益心康
'yi'xin'kang'tai 益心康泰
'yi'xin'ning'shen 益心宁神
'yi'xin'shu 益心舒
'yi'xin'tong'mai 益心通脉
'yi'xing'gan'yan'xue'yuan'yi'miao 乙型肝炎血源疫苗
'yi'xiu'zhang'nao 一溴樟脑
'yi'xu'ning 益虚宁
'yi'xuan'ning 抑眩宁
'yi'xue 益血
'yi'xue'sheng 益血生
'yi'ya'an 乙亚胺
'yi'ya'jian'pi 薏芽健脾
'yi'yan'jing'wei 异烟肼维
'yi'yang'huang'tong 乙氧黄酮
'yi'yi'chun'an 一乙醇胺
'yi'yi'ding'qin 乙异丁嗪
'yi'yin'xiao'ke 益阴消渴
'yi'yong'chao'sheng'ou'he'ji 医用超声耦合剂
'yi'yong'xiao'pao'ye 医用消泡液
'yi'yuan 益元
'yi'yuan'huang'jing 益元黄精
'yi'zhe'mai'bu 依折麦布
'yi'zhi'hao'shang'shi'qu'tong 一枝蒿伤湿祛痛
'yi'zhi'kang'nao 益智康脑
'yi'zhi'ping 益脂平
'yi'zhi'wen'shen'shi'wei 益智温肾十味
'yi'zhong'sheng'xue 益中生血
'yi'zhou'gao'li'shen 一洲高丽参
'yi'zhou'yang'shen 一洲洋参
'yi'zhou'yang'shen'wan 一洲洋参丸
'yi'zhu'tian 一柱天
'yin'bai'gan'yan 茵白肝炎
'yin'bei'zhi'ke 银贝止咳
'yin'bing 银冰
'yin'bing'xiao'cuo 银冰消痤
'yin'can'tong'luo 银参通络
'yin'chai 银柴
'yin'chen'tui'huang 茵陈退黄
'yin'chen'wu'ling 茵陈五苓
'yin'dan'ping'gan 茵胆平肝
'yin'dan'xin'nao'tong 银丹心脑通
'yin'dan'xin'tai 银丹心泰
'yin'du'da'ma 印度大麻
'yin'du'da'ma'zhi 印度大麻脂
'yin'duo'la'ming 吲哚拉明
'yin'duo'mei'xin'san'qi'bing'pian 吲哚美辛三七冰片
'yin'duo'mei'xin'sha'ding'an'chun 吲哚美辛沙丁胺醇
'yin'er'duo'tang 银耳多糖
'yin'er'ru'bai'yu'gan'you 银耳乳白鱼肝油
'yin'er'wei'gai'pian 银耳维钙片
'yin'fang'ji'du'su 印防己毒素
'yin'ge'tong'mai 银葛通脉
'yin'hu'gan'mao 银胡感冒
'yin'hua 银花
'yin'hua'gan'mao 银花感冒
'yin'hua'kang'gan 银花抗感
'yin'hua'mang'guo 银花芒果
'yin'hua'mi'yan'ling 银花泌炎灵
'yin'huang 银黄
'yin'huang'gan'fu 茵黄肝复
'yin'huang'ping'chuan 银黄平喘
'yin'huang'qing'fei 银黄清肺
'yin'ju'gan'mao 银菊感冒
'yin'ju'li'yan 银桔利咽
'yin'ju'qing'jie 银菊清解
'yin'ju'qing'yan 银菊清咽
'yin'ka'lin'suan'er'na 因卡膦酸二钠
'yin'lan'tong'luo 银蓝通络
'yin'lian'qing'gan 茵莲清肝
'yin'ling 银灵
'yin'long'qing'gan 银龙清肝
'yin'luo'qin 茚洛秦
'yin'mi 银蜜
'yin'pu'jie'du 银蒲解毒
'yin'qi'gan'fu 茵芪肝复
'yin'qiao 银翘
'yin'qiao'jie'du 银翘解毒
'yin'qiao'shang'feng 银翘伤风
'yin'qiao'shuang'jie 银翘双解
'yin'qin 银芩
'yin'shan'lian 茵山莲
'yin'xie 银屑
'yin'xing'cha 银杏茶
'yin'xing'da'mo 银杏达莫
'yin'xing'mi'huan 银杏蜜环
'yin'xing'shu'xin 银杏舒心
'yin'xing'yang'shen 银杏洋参
'yin'xu'wei'tong 阴虚胃痛
'yin'yang'chong'cao 银阳虫草
'yin'yang'kang 阴痒康
'yin'zhan'xin'mai 银盏心脉
'yin'zhi'huang 茵栀黄
'yin'zhi'yi'gan 茵栀益肝
'yin'zuo'lin 茚唑林
'ying'er'an 婴儿安
'ying'er'jian'pi 婴儿健脾
'ying'er'run'fu'yao 婴儿润肤药
'ying'pai'ling'zhi'chong'ji 鹰牌灵芝冲剂
'ying'su'gan'nong'suo'wu 罂粟秆浓缩物
'ying'tao'tang'jiang 樱桃糖浆
'ying'wei'pu'li 英维普利
'ying'zao 硬皂
'ying'zhi'shan'li'tan 硬脂山梨坦
'ying'zhi'suan'bing'er'chun'zhi 硬脂酸丙二醇酯
'ying'zhi'suan'gai 硬脂酸钙
'ying'zhi'suan'jia 硬脂酸钾
'ying'zhi'suan'na 硬脂酸钠
'ying'zhi'suan'san'yi'chun'an'zao 硬脂酸三乙醇胺皂
'ying'zhi'suan'xin 硬脂酸锌
'yong'long'hao'qu'feng'you 永龙号驱风油
'yong'long'qu'feng'you 永隆驱风油
'yong'long'zheng'hong'hua'you 永龙正红花油
'you'bei'ta'mi'song'lin'suan'na 右倍他米松磷酸钠
'you'di 疣迪
'you'fen'fu'la'ming 右芬氟拉明
'you'fu'ning 优福宁
'you'gui 右归
'you'jia'zhuang'xian'su 右甲状腺素
'you'jia'zhuang'xian'su'na 右甲状腺素钠
'you'ke'long 优克龙
'you'le'pei 优乐沛
'you'lv'ben'na'min 右氯苯那敏
'you'ma'la'an 右吗拉胺
'you'mei'san 优酶散
'you'mei'sha'fen'yu'chuang'gan'you'mi 右美沙芬愈创甘油醚
'you'san'tong 优散痛
'you'suan 油酸
'you'suan'duo'xiang'zhi'zhi'ti 油酸多相脂质体
'you'suan'gong 油酸汞
'you'suan'jia 油酸钾
'you'suan'na 油酸钠
'you'suan'san'yi'chun'an'zao 油酸三乙醇胺皂
'you'suan'shan'li'tan 油酸山梨坦
'you'suan'yi'zhi 油酸乙酯
'you'xie'ning 幼泻宁
'you'xuan'ben'bing'an 右旋苯丙胺
'you'xuan'fan'suan'na 右旋泛酸钠
'you'xuan'fen'fu'la'ming 右旋芬氟拉明
'you'xuan'tang'gai'tie 右旋糖钙铁
'yu'an'yi'bing'qin 愈铵异丙嗪
'yu'biao 鱼鳔
'yu'biao'bu'shen 鱼鳔补肾
'yu'chuang'gan'you'mi 愈创甘油醚
'yu'chuang'mu'fen 愈创木酚
'yu'chuang'mu'fen'huang'suan'na 愈创木酚磺酸钠
'yu'chuang'mu'fen'tan'suan'zhi 愈创木酚碳酸酯
'yu'chuang'mu'shu'zhi 愈创木树脂
'yu'chuang'wei'lin'na'min 愈创维林那敏
'yu'cong'qiang'shen 萸苁强肾
'yu'dai 愈带
'yu'fen'cha'jian'na'min 愈酚茶碱那敏
'yu'fen'dai'yin 愈酚待因
'yu'fen'jia'ma'na'min 愈酚甲麻那敏
'yu'fen'pen'tuo'yi'bing'qin 愈酚喷托异丙嗪
'yu'fen'wei'lin 愈酚维林
'yu'fen'wei'ma 愈酚伪麻
'yu'fen'wei'ma'dai'yin 愈酚伪麻待因
'yu'feng 愈风
'yu'feng'ning'xin 愈风宁心
'yu'gan 愈肝
'yu'gan'long 愈肝龙
'yu'gan'you'ji'dai'yong'jiao 鱼肝油级代用胶
'yu'gan'you'mai'ya 鱼肝油麦芽
'yu'heng'bin 育亨宾
'yu'huai 榆槐
'yu'jin 鱼金
'yu'jin'fang 玉金方
'yu'jin'kang 玉金康
'yu'jin'yin'xie 郁金银屑
'yu'ke 愈咳
'yu'lan'jiang'tang 玉兰降糖
'yu'lian 萸连
'yu'liang'qing 余良卿
'yu'lie 愈裂
'yu'lin'bing 鱼鳞病
'yu'ling'xiao'ke 玉苓消渴
'yu'mai'kou'yan 余麦口咽
'yu'mei 愈美
'yu'mi'huang 玉米黄
'yu'ping'feng 玉屏风
'yu'qing'kang'gong'yan 玉清抗宫炎
'yu'quan 玉泉
'yu'san'xiao 愈三消
'yu'shang'ling 愈伤灵
'yu'shi'zhi'dian'qie 鱼石脂颠茄
'yu'shi'zhi'yang'hua'xin 鱼石脂氧化锌
'yu'shu 玉枢
'yu'xin'tong 愈心痛
'yu'xing'cao'su 鱼腥草素
'yu'xuan'yao'shui 愈癣药水
'yu'xue'bi 瘀血痹
'yu'ye'jie'du 玉叶解毒
'yu'ye'qing'huo 玉叶清火
'yu'ye'xiao'ke 玉液消渴
'yu'you 鱼油
'yu'you'jiang'zhi 鱼油降脂
'yu'yuan 愈渊
'yu'zan'qing'yan'shi'wu'wei 玉簪清咽十五味
'yu'zhen 玉真
'yu'zhi'ping'an 御制平安
'yu'zhi'suan 鱼脂酸
'yu'zhu'gao'ling 玉竹高龄
'yuan'bu'lin 原卟啉
'yuan'bu'lin'na 原卟啉钠
'yuan'du'gan'mao 鸢都感冒
'yuan'du'han'bi 鸢都寒痹
'yuan'hao'hu'gan 芫蒿护肝
'yuan'he'zheng'wei 元和正胃
'yuan'heng'yi'tai 元亨胰泰
'yuan'hu'wei'shu 元胡胃舒
'yuan'hu'zhi'tong 元胡止痛
'yuan'hua'zong'huang'tong 芫花总黄酮
'yuan'ji'lin'gan'he 源吉林甘和
'yuan'shen'an 元神安
'yuan'xing'zhi'chuang'shui 远兴痔疮水
'yuan'ye'zhi'ke 苑叶止咳
'yue'bai'zhen'zhu 月白珍珠
'yue'gui'shan'li'tan 月桂山梨坦
'yue'ju 越鞠
'yue'ju'bao'he 越鞠保和
'yue'ju'er'chen 越鞠二陈
'yue'tai'tie'qi 月泰贴脐
'yue'yue'an 月月安
'yue'yue'shu 月月舒
'yue'zhi 月芝
'yun'cao'shu'fei 云草舒肺
'yun'dong'chuang'shang'gao 运动创伤膏
'yun'er'xi'tong 孕二烯酮
'yun'er'xi'tong'san'xiang'pian 孕二烯酮三相片
'yun'fu'jin'hua 孕妇金花
'yun'fu'jing 晕复静
'yun'fu'qing'huo 孕妇清火
'yun'kang 孕康
'yun'ke'ping 晕可平
'yun'nan'hong'yao 云南红药
'yun'nan'hua'fen 云南花粉
'yun'ning 晕宁
'yun'nuo'tong 孕诺酮
'yun'shi'gan'mao 云实感冒
'yun'tong'ding 晕痛定
'yun'wei'ning 云胃宁
'yun'xiang'cao'you 芸香草油
'yun'xiang'shi'wu'wei 云香十五味
'yun'zhi'gan'tai 云芝肝泰
'yun'zhi'jun 云芝菌
'zai'zao 再造
'zai'zao'sheng'xue 再造生血
'zai'zhi'dan'bai'ce'ding'shi'ji'he 载脂蛋白测定试剂盒
'zang'lian 脏连
'zao'can 枣参
'zao'can'an'shen 枣参安神
'zao'ren'an'shen 枣仁安神
'zao'ying'chan'qi'fen 造影产气粉
'ze'gui'long'shuang 泽桂癃爽
'zeng'guang 增光
'zeng'ji 增肌
'zeng'kang'ning 增抗宁
'zeng'li'zai'sheng 增力再生
'zeng'ru 增乳
'zeng'sheng'ping 增生平
'zeng'xiao'hui'huang'mei'su 增效灰黄霉素
'zeng'ye 增液
'zha'chong'shi'san'wei 扎冲十三味
'zha'na'mi'wei 扎那米韦
'zha'pu'si'te 扎普司特
'zha'qu'ping'wei 楂曲平胃
'zhan'jiang'chan'chu 湛江蟾蜍
'zhan'jiao'shi'gao 粘胶石膏
'zhan'jin'huo'xue 展筋活血
'zhang'fu'ming 障复明
'zhang'huang'mi'fen 樟磺咪芬
'zhang'nao'bo'he'liu'zhi 樟脑薄荷柳酯
'zhang'nao'shui'he'lv'quan 樟脑水合氯醛
'zhang'nao'suan 樟脑酸
'zhang'ya'cai'ku'gan 獐牙菜苦苷
'zhang'yan'ming 障眼明
'zhang'yi 障翳
'zhang'you 樟油
'zhang'zhou'shen 漳州神
'zhe'mu 柘木
'zhe'tang'zhi'fang'suan'zhi 蔗糖脂肪酸酯
'zhen'bao 珍宝
'zhen'bao'jie'du 珍宝解毒
'zhen'dai 珍黛
'zhen'feng 珍凤
'zhen'feng'shi 镇风湿
'zhen'he'ling 珍合灵
'zhen'hong 珍红
'zhen'huang'an'gong 珍黄安宫
'zhen'huang'wei 珍黄胃
'zhen'ju'jiang'ya 珍菊降压
'zhen'jun'jiang'zhi'su 真菌降脂素
'zhen'jun'zhu'huang 真菌竹黄
'zhen'ke 镇咳
'zhen'ke'ning 镇咳宁
'zhen'long'hong'hua'you 真龙红花油
'zhen'long'xin'dan 真龙心丹
'zhen'long'xing'nao 珍龙醒脑
'zhen'mu 珍母
'zhen'mu 珍牡
'zhen'mu'shen'gu 珍牡肾骨
'zhen'nao'ning 镇脑宁
'zhen'qi'bu'xue 珍芪补血
'zhen'qi'fu'zheng 贞芪扶正
'zhen'qi'gan'tai 贞杞肝泰
'zhen'qi'jiang'tang 珍芪降糖
'zhen'qi'li'yan 贞芪利咽
'zhen'shan'li'wei 珍杉理胃
'zhen'shi'ming 珍视明
'zhen'shi'shao'shang 珍石烧伤
'zhen'tong 镇痛
'zhen'tong'an 镇痛安
'zhen'tong'ding 镇痛定
'zhen'tong'gao 镇痛膏
'zhen'tong'huo'luo 镇痛活络
'zhen'xi'wei 珍稀胃
'zhen'xiang 珍香
'zhen'xin'an'shen 镇心安神
'zhen'xin'jiang'ya 镇心降压
'zhen'xin'tong 镇心痛
'zhen'xiong'dan 珍熊胆
'zhen'yuan 振源
'zhen'yuan'qing'yan 珍元清咽
'zhen'zhi'an'shen 珍芝安神
'zhen'zhu'ba'bao 珍珠八宝
'zhen'zhu'fen 珍珠粉
'zhen'zhu'gai 珍珠钙
'zhen'zhu'huo'luo'er'shi'jiu'wei 珍珠活络二十九味
'zhen'zhu'ling'zhi 珍珠灵芝
'zhen'zhu'ming'mu 珍珠明目
'zhen'zhu'niu'huang 珍珠牛黄
'zhen'zhu'sheng'ji 珍珠生肌
'zhen'zhu'wei'an 珍珠胃安
'zheng'chai'hu'yin 正柴胡饮
'zheng'gu'zi'jin 正骨紫金
'zheng'lu 正露
'zheng'qi 正气
'zheng'qing'feng'tong'ning 正清风痛宁
'zheng'qing'ling'zhi 正清灵芝
'zheng'shang'xiao'tong 正伤消痛
'zheng'shi'zi'you 正十字油
'zheng'tang 正糖
'zheng'tian 正天
'zheng'wei 正胃
'zheng'xin'jiang'zhi 正心降脂
'zheng'xin'tai 正心泰
'zhi'an'su 痔安素
'zhi'bai'di'huang 知柏地黄
'zhi'ban'su'zhen 制斑素针
'zhi'bao'san'bian 至宝三鞭
'zhi'bi'tai 脂必泰
'zhi'bi'tuo 脂必妥
'zhi'chang'tou'xi'ye 直肠透析液
'zhi'chen'xiao'shi 枳陈消食
'zhi'chuan 止喘
'zhi'chuan'ke 止喘咳
'zhi'chuan'ling 止喘灵
'zhi'chuang 痔疮
'zhi'chuang'wai'xi 痔疮外洗
'zhi'chuang'zhi'xue 痔疮止血
'zhi'dai 止带
'zhi'dai 治带
'zhi'dai'xiao'mi 止带消糜
'zhi'dan'luo'huo 蛭丹络活
'zhi'de'xiao 痔得消
'zhi'er'ling 稚儿灵
'zhi'feng 芷风
'zhi'gan'jia 治感佳
'zhi'gan'ling 治感灵
'zhi'he'shi'jun'shu'zhen'duan'xue'qing 志贺氏菌属诊断血清
'zhi'hong'chang'pi 止红肠澼
'zhi'hua'ci'ji'su 酯化雌激素
'zhi'huan'liao 痔患疗
'zhi'ji 痔疾
'zhi'jiang'ning 脂降宁
'zhi'jin'gan 制金柑
'zhi'jin'ning'yan'yao'shui 治近宁眼药水
'zhi'kang 痔康
'zhi'kang 脂康
'zhi'kang 致康
'zhi'kang'shu 痔康舒
'zhi'ke 止咳
'zhi'ke'bao 止咳宝
'zhi'ke'chuan'bei'pi'pa 治咳川贝枇杷
'zhi'ke'chuan're'can'pian 止咳喘热参片
'zhi'ke'ding'chuan 止咳定喘
'zhi'ke'jiang'tang 止渴降糖
'zhi'ke'ju'hong 止咳橘红
'zhi'ke'kang'pi'lao'chong'ji 止渴抗疲劳冲剂
'zhi'ke'li 止咳梨
'zhi'ke'lu 止咳露
'zhi'ke'min 止咳敏
'zhi'ke'ning'sou 止咳宁嗽
'zhi'ke'pi'pa 止咳枇杷
'zhi'ke'pi'pa 治咳枇杷
'zhi'ke'ping'chuan 止咳平喘
'zhi'ke'qing 脂可清
'zhi'ke'qu'tan 止咳祛痰
'zhi'ke'tao'hua 止咳桃花
'zhi'ke'you 止咳油
'zhi'lan'xing'xiang'jing 芝兰型香精
'zhi'li 止痢
'zhi'li 治痢
'zhi'li'ling 止痢灵
'zhi'li'ning 止痢宁
'zhi'lian'dian'fen 支链淀粉
'zhi'lian'dian'fen 直链淀粉
'zhi'liao'yong'bu'shi'jun'bing'jun'miao 治疗用布氏菌病菌苗
'zhi'liao'yong'nian'zhi'sha'lei'shi'jun'jun'miao 治疗用粘质沙雷氏菌菌苗
'zhi'lie'hu'fu'gao 治裂护肤膏
'zhi'lie'ling 治裂灵
'zhi'ling 志苓
'zhi'ling 至灵
'zhi'ling'jun'si 至灵菌丝
'zhi'long'xue'tong 蛭龙血通
'zhi'lou'shu 痔瘘舒
'zhi'mai'kang 脂脉康
'zhi'mi'fu'ling 指迷茯苓
'zhi'mi'ling 治糜灵
'zhi'ning 痔宁
'zhi'pian'tong 治偏痛
'zhi'qi 智杞
'zhi'qi'guan'yan 支气管炎
'zhi'qin'qing're 栀芩清热
'zhi'qing 脂清
'zhi'rong'xing'wei'sheng'su 脂溶性维生素
'zhi'shan'hui'xiang 治疝茴香
'zhi'shang 治伤
'zhi'shang'die'da 治伤跌打
'zhi'shang'feng 治伤风
'zhi'shang'xiao'yu 治伤消瘀
'zhi'sheng'bao'yuan 至圣保元
'zhi'shi'dao'zhi 枳实导滞
'zhi'shi'xiao'pi 枳实消痞
'zhi'shou'wu 制首乌
'zhi'shu 枳术
'zhi'shu'kuan'zhong 枳术宽中
'zhi'shu'shi 痔舒适
'zhi'sou 止嗽
'zhi'sou'ding'chuan 止嗽定喘
'zhi'sou'hua'tan 止嗽化痰
'zhi'sou'li'xiao 止嗽立效
'zhi'sou'qing'guo 止嗽青果
'zhi'su'ning 痔速宁
'zhi'suan 植酸
'zhi'suan'gai 植酸钙
'zhi'suan'gai'mei 植酸钙镁
'zhi'suan'zhi'tong 制酸止痛
'zhi'te'jia 痔特佳
'zhi'tong'an 痔痛安
'zhi'tong'dan 止痛丹
'zhi'tong'feng'shi 止痛风湿
'zhi'tong'hua'zheng 止痛化癥
'zhi'tong'tou'gu 止痛透骨
'zhi'tong'xiao'yan 止痛消炎
'zhi'tong'zi'jin 止痛紫金
'zhi'tu'liu'wei 止吐六味
'zhi'tuo'jie'bai 智托洁白
'zhi'tuo'ning 痔脱宁
'zhi'tuo'sheng'fa 止脱生发
'zhi'xi'shuan 痔息栓
'zhi'xie 止泻
'zhi'xie'bao'tong 止泻保童
'zhi'xie'li 止泻利
'zhi'xie'ling 止泻灵
'zhi'xin'kang 脂欣康
'zhi'xuan'an'shen 止眩安神
'zhi'xue 止血
'zhi'xue 痔血
'zhi'xue'ba'wei 止血八味
'zhi'xue'bao 止血宝
'zhi'xue'ding'tong 止血定痛
'zhi'xue'fen 止血粉
'zhi'xue'fen'hao 止血粉号
'zhi'xue'fu'mai 止血复脉
'zhi'xue'hu'chuang'gao 止血护创膏
'zhi'xue'ling 止血灵
'zhi'xue'qu'yu'ming'mu 止血祛瘀明目
'zhi'xue'su 止血素
'zhi'xue'su 止血速
'zhi'xue'xiao'yan'hai'mian 止血消炎海绵
'zhi'xue'zhen'tong 止血镇痛
'zhi'yan'xiao 痔炎消
'zhi'yang'xiao'yan 止痒消炎
'zhi'yi'xing'pi'yan 脂溢性皮炎
'zhi'zi'huang 栀子黄
'zhi'zi'jin'hua 栀子金花
'zhong'chang'lian'zhi'fang'ru 中长链脂肪乳
'zhong'feng'an 中风安
'zhong'feng'hui'chun 中风回春
'zhong'feng'zai'zao 中风再造
'zhong'hua'die'da 中华跌打
'zhong'hua'gan'ling 中华肝灵
'zhong'hua'tang'bi'xiao 中华糖必效
'zhong'hua'wu'ji'jing 中华乌鸡精
'zhong'man'fen'xiao 中满分消
