'a'er'bo'te 阿尔伯特
'long'ren'zhi'ta 龙人之塔
'long'ren'zhi'yan 龙人之眼
'long'tou'pao 龙头炮
'long'tou'pao'de'pao'shen 龙头炮的炮身
'long'ya 龙牙
'long'zhi'zhan'zheng 龙之战争
'lu'er'de'tian'mu'zhao 鲁尔的天目爪
'lu'gu 戮蛊
'lu'gu'cheng'chong 戮蛊成虫
'lu'gu'you'chong 戮蛊幼虫
'lu'ka'si 鲁卡斯
'lu'ke 卢克
'lu'ke'xi 卢克西
'lu'yan'tan 炉岩炭
'lu'yan'tan 炉岩碳
'lu'yi'si 路易丝
'lu'yi'si 露易丝
'luan'she 乱射
'luan'wu 乱舞
'luo'feng'chui 落凤锤
'luo'hua'zhang 落花掌
'luo'jie 罗杰
'luo'jie'de'jin'biao 罗杰的金表
'luo'ke'sha 洛克沙
'luo'lan 洛兰
'luo'lan'hu'wei'zhe 罗兰护卫者
'luo'lan'shen'chu 洛兰深处
'luo'lei'fu 落雷符
'luo'lei'kai'nuo 落雷凯诺
'luo'li'an 罗莉安
'luo'te'si'de'ling'li'tu'teng 罗特斯的灵力图腾
'luo'xing 落星
'luo'xing'zhan'fu 落星战斧
'luo'xuan'hui'xing'luo 螺旋彗星落
'luo'xuan'nian'qi'chang 螺旋念气场
'luo'yan'mo'zhang 落炎魔杖
'lv'guan 旅馆
'lv'xing'xia'zhuang 旅行下装
'lv'zhuang 绿装
'ma'jie'luo 马杰洛
'ma'li'ya 玛利亚
'ma'lie'li'te 马列丽特
'ma'ni'shen'shou'xiang'zhui 玛尼神兽项坠
'ma'se'la'si 马瑟拉斯
'mai'lun 脉轮
'man'you 漫游
'man'you'qiang'shou 漫游枪手
'man'yue'zhan 满月斩
'mao'jing'tong 矛精通
'mao'tou'ying 猫头鹰
'mao'xian'ji 冒险级
'mao'yao 猫妖
'mao'yao'zhi'jia 猫妖指甲
'mei'chen 煤尘
'mei'fen'zhong 每分钟
'meng'du'lei'ming'fei'xu 猛毒雷鸣废墟
'meng'du'you'an'mi'lin 猛毒幽暗密林
'meng'du'zhi'xue 猛毒之血
'meng'huan'zhi'chen 梦幻之尘
'meng'long'duan'kong'zhan 猛龙断空斩
'mi'gong 迷宫
'mi'lan'de'mo'zhu 米兰的墨珠
'mi'luan'zhi'cun 迷乱之村
'mi'luan'zhi'cun'ha'mu'lin 迷乱之村哈穆林
'mi'wang'zhi'ta 迷惘之塔
'mi'yue 迷月
'mian'bu'shang'yi 棉布上衣
'mian'bu'xia'zhuang 棉布下装
'mian'bu'xie 棉布鞋
'min'tai 敏泰
'ming'xiang'zhe'zhi'hui'zhang'tao'zhuang 冥想者之徽章套装
'ming'yan'zhi'ka'luo 冥炎之卡洛
'ming'yue'zhi'zhu'fu 明月之祝福
'ming'yun'ying'bi 命运硬币
'mo'chui 魔锤
'mo'dao'xue'zhe 魔道学者
'mo'di'shi'zhe'pi'te 魔笛使者皮特
'mo'fa'fang'yu 魔法防御
'mo'fa'fang'yu'li 魔法防御力
'mo'fa'hu'dun 魔法护盾
'mo'fa'ji'yi 魔法记忆
'mo'fa'shang'hai 魔法伤害
'mo'fa'shi 魔法师
'mo'fa'shi'de'xue'ye 魔法师的血液
'mo'fa'shi'gong'hui 魔法师工会
'mo'fa'shi'lin'en'de'yin'zhang 魔法师林恩的印章
'mo'fa'shi'lin'en'de'yin'zhang 魔法师琳恩的印章
'mo'fa'xing'dan 魔法星弹
'mo'fa'xiu 魔法秀
'mo'fang 魔防
'mo'gong 魔攻
'mo'li 魔力
'mo'li'guo'zhi 魔力果汁
'mo'li'yin'ji 魔力印记
'mo'li'zhi'hua 魔力之花
'mo'li'zhi'shi 魔力之石
'mo'nv'li'si 魔女莉丝
'mo'qu 魔驱
'mo'ri'feng'bao 末日风暴
'mo'shu'shi'huan'xing'tao'zhuang 魔术师环型套装
'mo'xi'ye'de'xiang'kuai'tao'zhuang 莫西耶的镶块套装
'mo'yu 墨鱼
'mo'zhang 魔杖
'mo'zhen'de'lie'quan 魔震的猎犬
'mo'zhu'shou'zhuo 墨竹手镯
'mu'di'ku'lou 墓地骷髅
'mu'guan 木灌
'mu'guan 木罐
'nan'fang'shan'gu 南方山谷
'ni'ling 逆翎
'ni'nu'er'ta'shen 尼努尔塔神
'ni'tu'shi'ju'ren 泥土石巨人
'ni'wu 妮乌
'ni'zhuan'fan'ji 逆转反击
'nian'qi'bo 念气波
'nian'qi'gan'zhi 念气感知
'nian'qi'zhao 念气罩
'nian'zhu 念珠
'niu'tou'bing 牛头兵
'niu'tou'guai 牛头怪
'niu'tou'guai'de'fa'mao 牛头怪的发毛
'niu'tou'guai'de'mao'fa 牛头怪的毛发
'niu'tou'guai'de'wei'ba 牛头怪的尾巴
'niu'tou'guai'de'ying'jiao 牛头怪的硬角
'niu'tou'ju'shou 牛头巨兽
'niu'tou'qian'feng 牛头前锋
'niu'tou'ren 牛头人
'niu'tou'ren'qian'feng 牛头人前锋
'niu'tou'tong'shuai 牛头统帅
'niu'tou'wang'sa'wu'ta 牛头王萨乌塔
'niu'tou'xie'wang 牛头械王
'nu'ling'tao 怒灵套
'nu'qi'bao'fa 怒气爆发
'nuo'dun 诺顿
'nuo'si'ma'er 诺思玛尔
'nuo'si'ma'er 诺斯玛尔
'nuo'si'ma'er'chi'long'pi'jia 诺斯玛尔赤龙皮夹
'nuo'si'ma'er'po'xi'bu'jia 诺斯玛尔破曦布甲
'nuo'si'ma'er'zhan'ying'pi'jia 诺斯玛尔斩影皮夹
'nuo'si'ma'er'zhan'ying'zhong'jia 诺斯玛尔斩影重甲
'nuo'si'xue'yu 诺斯雪域
'nuo'yi'bei'la 诺伊贝拉
'nuo'yi'pei'la 诺伊佩拉
'pa'li'si 帕丽斯
'pao'sha 抛沙
'pao'shen 炮身
'pei'er'wei'si'tao'zhuang 裴尔维斯套装
'pen'huo'qi 喷火器
'pen'huo'qiang 喷火枪
'pi'jia 皮甲
'pi'jia'jing'tong 皮甲精通
'pi'lao 疲劳
'pi'lao'zhi 疲劳值
'pin'dao'la'ba 频道喇叭
'pin'ji 品级
'pin'ji'tiao'zheng'xiang 品级调整箱
'po'ba'ti 破霸体
'po'ji'bing'ren 破极兵刃
'po'ji'xie'jia'shou'pao 破极卸甲手炮
'po'jiu'de'mao'pi 破旧的毛皮
'po'jiu'de'pi'ge 破旧的皮革
'po'jun'sheng'long'ji 破军升龙击
'po'mo 破魔
'po'mo'fu 破魔符
'po'sui'zhi'chui 破碎之锤
'po'sun'de'dao'ren 破损的刀刃
'po'zhao 破招
'pu'la'ge 普拉格
'pu'tong'xing'wan'ju'shi'bing 普通型玩具士兵
'qi'cai'hong'lie'yan'zhan'shen 七彩虹烈焰战神
'qi'gong 气功
'qi'gong'shi 气功师
'qi'yue'zhao'huan 契约召唤
'qian'dao 签到
'qian'li'xue 千里靴
'qian'lian'nu'fang 千莲怒放
'qian'long'mei'ying 潜龙魅影
'qian'neng'bao'fa 潜能爆发
'qian'qi'zhi'di 浅栖之地
'qian'ti 前踢
'qian'wang'zhi'wang 签王之王
'qian'xi'zhi'di 浅析之地
'qian'ye'hua 千叶花
'qiang'hua'sheng'ji 强化升级
'qiang'li'qing'jia'zhuan'jing 强力轻甲专精
'qiang'pao 枪炮
'qiang'pao'shi 枪炮师
'qiang'quan 强拳
'qiang'ren'e'mo'de'yao'qing'han 强韧恶魔的邀请函
'qiang'ren'qing'jia'zhuan'jing 强韧轻甲专精
'qiang'shen 枪神
'qie'xi'er'xiao'lian'mao 切希尔笑脸猫
'qin'shi'zhi'pu'li'meng 侵蚀之普戾蒙
'qin'yue'yan 擒月炎
'qing'ge'bu'lin 青哥布林
'qing'guang'zhen'shou'jian 青光震兽剑
'qing'jia 轻甲
'qing'jia'jing'tong 轻甲精通
'qing'liang'de'luo'cha'guo 清凉的罗刹果
'qing'liang'de'luo'jing'guo 清凉的罗荆果
'qing'tong'shi'ju'ren 青铜石巨人
'qu'mo'shi 驱魔师
'qu'mo'zhen'she 驱魔震慑
'qu'mo'zhong'jia'zhuan'jing 驱魔重甲专精
'qu'zhu'zhe 驱逐者
'quan'guo'da'xue'cheng'tiao'zhan'sai 全国大学城挑战赛
'quan'qi 拳气
'quan'ren'ha'duo 犬人哈多
'quan'shi'mo'zhen 犬使魔震
'quan'tao 拳套
'quan'tao'zhang'wo 拳套掌握
'ran'shao'e'mo'de'yao'qing'han 燃烧恶魔的邀请函
'ran'shao'e'mo'de'yao'qing'quan 燃烧恶魔的邀请券
'ran'shao'ping 燃烧瓶
'ren'ou'shi 人偶师
'ren'ou'xuan'guan 人偶玄关
'ren'wu 任务
'rong'yan'xue 熔岩穴
'rong'yu'zhu'fu 荣誉祝福
'rou'dao 柔道
'rou'dao'jia 柔道家
'rui'yan'yao'shui 锐眼药水
'ruo'dian'gan'zhi 弱点感知
'sa'le'de'yin'zhang 撒勒的印章
'sa'wu'ta'de'zhan'fu 萨巫塔的战斧
'sai'er'ji'min 塞尔吉敏
'sai'ge'ha'te 赛格哈特
'sai'la'shang'dian 塞拉商店
'sai'li'ya 赛丽亚
'sai'li'ya 赛丽雅
'sai'li'ya'di'jie'zhi 赛丽亚的戒指
'san'da 散打
'san'duan'zhan 三段斩
'sang'de'er 桑德尔
'se'ming'te'ke 瑟冥特克
'sha'lan 莎兰
'sha'lu'qi'shi 杀戮骑士
'sha'lu'shou'hu'zhi'shou'zhuo 杀戮守护之手镯
'sha'qi'gan'zhi 杀气感知
'sha'yi'bo'dong 杀意波动
'shan'bian'mao'yao 善变猫妖
'shan'dian'zhi'wu 闪电之舞
'shan'guang'dou'jia'tao'zhuang 闪光兜甲套装
'shan'guang'shi 闪光石
'shan'ji 山脊
'shan'ling'sa'ji 闪灵萨吉
'shang'cheng 商城
'shang'gou'quan 上勾拳
'shang'hai 上海
'shang'ji'yuan'su'jie'jing 上级元素结晶
'shang'tiao 上挑
'she'zhi 设置
'shen'de'bi'hu 神的庇护
'shen'dian'wai'wei 神殿外围
'shen'gui'zhan'shi'xiang'zhui 神鬼战士项坠
'shen'hong'hua'shi'tao'zhuang 深红花饰套装
'shen'pan'zhe'tao'zhuang 审判者套装
'shen'qiang'shou 神枪手
'shen'sheng'ban'jia'zhuan'jing 神圣板甲专精
'shen'sheng'de'shou'hu'zhe'xun'zhang 神圣的守护者勋章
'shen'sheng'pu'tao'jiu 神圣葡萄酒
'shen'yuan 深渊
'sheng'dian 胜点
'sheng'guang'qin'dun 圣光沁盾
'sheng'guang'qiu 圣光球
'sheng'guang'shou'hu 圣光守护
'sheng'hen'si'chou 圣痕丝绸
'sheng'li 胜利
'sheng'ling'zhan'shi'xiang'zhui 圣灵战士项坠
'sheng'ming'qin'he'tao'zhuang 生命亲和套装
'sheng'ming'yuan'quan 生命源泉
'sheng'ming'zhi'shui 生命之水
'sheng'qi'shi 圣骑士
'sheng'quan'lian'ji 圣拳连击
'sheng'ri'lei'ying 圣日雷影
'sheng'shi'suo'hun'gun 圣使锁魂棍
'sheng'shui 圣水
'sheng'xiu'de'tie'pian 生锈的铁片
'sheng'yu'zhi'feng 圣愈之风
'sheng'zhi'zhe 圣职者
'shi'bai 失败
'shi'fang 施放
'shi'fang'su'du 施放速度
'shi'fu'zhang 十夫长
'shi'fu'zhang'de'biao'ji 十夫长的标记
'shi'hua 石化
'shi'hun'feng'mo'zhan 嗜魂封魔斩
'shi'hun'zhe'de'huo'yan'jia'tao'zhuang 噬魂者的火焰甲套装
'shi'hun'zhi'shou 嗜魂之手
'shi'jian'qi'bing 侍剑骑兵
'shi'ju'ren'de'ling'hun 石巨人的灵魂
'shi'ju'ren'ta 石巨人塔
'shi'ling'gui'zhan 噬灵鬼斩
'shi'long 噬龙
'shi'long'hu'jian 噬龙护肩
'shi'long'hu'tui 噬龙护腿
'shi'long'jia'ke 噬龙夹克
'shi'long'pi'xue 噬龙皮靴
'shi'long'yao'dai 噬龙腰带
'shi'luo'zhi'ta 失落之塔
'shi'pa'luo'ta'shang'ceng 世帕罗塔上层
'shi'pa'luo'ta'xia'ceng 世帕罗塔下层
'shi'ren'la'ze'er 石刃拉泽尔
'shi'ren'mo'yao'ji 食人魔药剂
'shi'ren'shu 食人鼠
'shi'shang 世上
'shi'shen 式神
'shi'shi 史诗
'shi'shi'zhuang'bei 史诗装备
'shi'tou'ren 石头人
'shi'xia 世下
'shi'xue'mao'yao 嗜血猫妖
'shi'zi'hou 狮子吼
'shi'zi'jia 十字架
'shi'zi'zhan 十字斩
'shi'zi'zhan'dao'zhe 十字斩刀者
'shou'hu'hui'zhang 守护徽章
'shou'hu'kui'jia 守护盔甲
'shou'hu'sui'pian 守护碎片
'shou'hu'zhi'mai'la 守护之迈拉
'shou'nu 手弩
'shou'pao 手炮
'shou'pao'jing'tong 手炮精通
'shou'shen'dun'fu 受身蹲伏
'shou'tao 手套
'shu'fu 束缚
'shu'gen 树根
'shu'jing'cong'lin 树精丛林
'shu'lu'lu 舒露露
'shu'mo 树魔
'shu'mo'de'ju'mang'chui 树魔的巨蟒槌
'shu'qi'qian'wang 暑期签王
'shu'tou'de'shan'pu'tao 梳头的山葡萄
'shu'tou'de'shan'pu'tao 熟透的山葡萄
'shu'tou'ren'xi'wu 鼠头人西乌
'shu'xing 属性
'shu'xing'lan 属性栏
'shuai'ji'qiang'hua 摔技强化
'shuang'chong'gong'ji 双重攻击
'shuang'chong'qiang'ying 双重枪鹰
'shuang'chong'tou'zhi 双重投掷
'shuang'dao'liu 双刀流
'shuang'ji'cha'kan'yin'cang'shu'xing 双击查看隐藏属性
'shuang'ji'shi'chuan 双击试穿
'shuang'ren'ju'jian 双刃巨剑
'shui'guan 水罐
'shui'mian'bei'rou 睡眠贝肉
'shun'ti 瞬踢
'si'ba'da'si'zu'zhou 斯巴达斯诅咒
'si'dun'xue'yu 斯顿雪域
'si'ka'di'de'yin'zhang 斯卡迪的印章
'si'ka'di'nv'wang'de'yin'zhang 斯卡迪女王的印章
'si'ka'sa 斯卡萨
'si'shen'de'tiao'xin 死神的挑衅
'si'shen'de'yao'qing'han 死神的邀请函
'si'te'lu'shan'mai 斯特鲁山脉
'si'wang'du'wu 死亡毒雾
'si'wang'kang'ju 死亡抗拒
'si'wang'mu'bei 死亡墓碑
'si'wang'zhi'ta 死亡之塔
'si'wang'zuo'lun 死亡左轮
'si'zha'ke 斯扎克
'su'la'tuo'zhi'yan 苏拉托之眼
'sui'ba'shou'tao 碎霸手套
'sui'bu'pian 碎布片
'sui'bu'pian 碎步片
'sui'kong'mo'yan 碎空魔炎
'sui'po 碎魄
'suo'ding'ji'neng 锁定技能
'suo'xi'ya 索西雅
'suo'you'yi'chang 所有异常
'suo'you'yi'chang'zhuang'tai'kang'xing 所有异常状态抗性
'ta'she 踏射
'tai'dao 太刀
'tai'dao'jing'tong 太刀精通
'tai'la'shi 泰拉石
'tai'la'shi'ju'jian 泰拉石巨剑
'tai'yang'shen'tao'zhuang 太阳神套装
'tan'xian'wei'bu'xie 碳纤维布鞋
'tan'xian'wei'chang'ku 碳纤维长裤
'tan'xian'wei'chang'pao 碳纤维长袍
'tan'xian'wei'hu'jian 碳纤维护肩
'tan'xian'wei'shi'dai 碳纤维饰带
'tan'xian'wei'tao'zhuang 碳纤维套装
'teng'wan'gen'jing 藤蔓根茎
'teng'xun 腾讯
'ti'li 体力
'ti'shen'cao'ren 替身草人
'tian'ji 天击
'tian'ji 天脊
'tian'kong'zhi'cheng 天空之城
'tian'kong'zhi'hai 天空之海
'tian'kong'zhi'hai'cheng'zhu'gong'dian 天空之海城主宫殿
'tian'kong'zhi'hai'hei'an'xuan'lang 天空之海黑暗玄廊
'tian'kong'zhi'hai'qian'hai 天空之海浅海
'tian'kong'zhi'hai'shen'hai 天空之海深海
'tian'lei 天雷
'tian'luo'di'wang 天罗地网
'tian'ping'xi'tong 天平系统
'tian'qian'ju'feng 天谴飓风
'tian'tang'xie'yin 天堂谐音
'tian'wei'jin'di 天帷禁地
'tian'wei'ju'shou'pi'tao'zhuang 天帷巨兽皮套装
'tian'wei'ju'shou'qiang'zhe'zhi'li'fu'xia'bu 天帷巨兽强者之礼服下部
'tian'wei'ju'shou'qiang'zhe'zhi'shen'su 天帷巨兽强者之神速
'tian'wei'ju'shou'qiang'zhe'zhi'shen'su'pi'jia 天帷巨兽强者之神速皮甲
'tian'wei'ju'shou'zhi'yan 天维巨兽之眼
'tian'xi 天袭
'tian'zhi'qu'zhu'zhe 天之驱逐者
'tiao'xin 挑衅
'tiao'yue'li 跳跃力
'tiao'zheng'xiang 调整箱
'tie'shan'kao 铁山靠
'tong'diao'xiang 铜雕像
'tou'ming'shi 透明石
'tou'zhi'bing 投掷兵
'tou'zhi'ge'bu'lin 投掷哥布林
'tou'zhi'jing'tong 投掷精通
'tou'zhi'shi'fu'zhang 投掷十夫长
'tu'bian 突变
'tu'du 涂毒
'tu'guan 土罐
'tu'lu'zhi'ren 屠戮之刃
'tu'teng 图腾
'tu'zhi 图纸
'tui'mo'zhi'qi'yuan'tao'zhuang 退魔之祈愿套装
'wa'jue'zhe 挖掘者
'wan'jian'zhi'wang'xi'fang'zhi'yan 万剑之王西方之焰
'wan'nian'xue'shan 万年雪山
'wan'ren 万仞
'wang'de'yi'ji 王的遗迹
'wang'zhe 王者
'wang'zhe'ji 王者级
'wang'zhe'xia'gu 亡者峡谷
'wang'zhe'zhi'xing 王者之星
'wang'zhi'shou'hu'bing 王之守护冰
'wang'zhi'shou'hu'feng 王之守护风
'wang'zhi'shou'hu'guang 王之守护光
'wang'zhi'shou'hu'huo 王之守护火
'wang'zhi'shou'hu'shou'hu 王之守护守护
'wang'zhi'shou'hu'xun'zhang 王之守护勋章
'wei'xing'ding'wei 卫星定位
'wei'xing'she'xian 卫星射线
'wei'zhuang 伪装
'wen'yi'zhi'luo'cha 瘟疫之罗刹
'wu'fa'jiao'yi 无法交易
'wu'fang 物防
'wu'gong 物攻
'wu'li'bao'ji 物理暴击
'wu'li'bei'ji 物理背击
'wu'li'fang'yu 物理防御
'wu'li'fang'yu'li 物理防御力
'wu'li'shang'hai 物理伤害
'wu'ni'ren'ou'shi 污泥人偶师
'wu'ni'ren'xing'shi 污泥人形师
'wu'pin'lan 物品栏
'wu'pin'tiao'ji'xiang 物品调级箱
'wu'qi'ao'yi 武器奥义
'wu'qi'fang'ju'qiang'hua 武器防具强化
'wu'qi'jie'zhi 武器节制
'wu'qu 物驱
'wu'se'da'jing'ti 无色大晶体
'wu'se'xiao'jing'kuai 无色小晶块
'wu'shen 武神
'wu'shen'bu 武神步
'wu'shen'qiang'ti 武神强踢
'wu'shu'xing 无属性
'wu'shuang'bo 无双波
'wu'tou'dao'shi'zhe 无头盗尸者
'wu'tou'ku'lou 无头骷髅
'wu'tou'qi'shi 无头骑士
'wu'you'nv'hai'bei'li 无忧女孩贝利
'wu'zhong'li'sui'pian 无重力碎片
'xi'bo'chu'zi'zhi'mei 希伯处子之美
'xi'hai'an 西海岸
'xi'luo'ke 希洛克
'xi'luo'mao'yao 希罗猫妖
'xi'tong'she'zhi 系统设置
'xi'zhuang 膝撞
'xia'dan'pao 霞弹炮
'xia'duan'ti 下段踢
'xia'ji'yuan'su'jie'jing 下级元素结晶
'xia'luo'ke 夏洛克
'xia'luo'ke'de'zhu'wei 夏洛克的助威
'xia'pu'lun 夏普伦
'xia'yi 下衣
'xia'zi 瞎子
'xian'ji'gong'ji 献祭攻击
'xian'ming'de'xun'lian'fu 贤明的训练服
'xian'zhe 贤者
'xian'zhe'de'xun'lian'tao'zhuang 贤者的训练套装
'xiang'lian 项链
'xiang'quan 翔拳
'xiao'ba'zhua 小八爪
'xiao'bai 小白
'xiao'shi'jie'yi 小世界仪
'xiao'xing'niu'tou'bing 小型牛头兵
'xie'e'de'jie'jing 邪恶的结晶
'xie'e'jie'jing 邪恶结晶
'xie'e'yao'ji 邪恶药剂
'xie'e'zhi'zhu 邪恶蜘蛛
'xie'guang'bo'dong'zhen 邪光波动阵
'xie'guang'zhan 邪光斩
'xie'jing 邪晶
'xie'long'de'xi'sheng'zhe 邪龙的牺牲者
'xie'long'si'pi'zi'tou'bu 邪龙斯皮兹头部
'xin'da 辛达
'xin'nian'duo'bao'qi'bing 新年夺宝奇兵
'xin'nian'sui'pian 信念碎片
'xin'ren'wu 新任务
'xing'fu'lian'ren 幸福恋人
'xing'lin 星临
'xing'luo'da 星落打
'xiong'can'ye'shou'tao'zhuang 凶残野兽套装
'xiu'ba'yi'si'zhong'jia'tao'zhuang 休巴伊斯重甲套装
'xiu'luo'xie'guang'zhan 修罗邪光斩
'xu'dian'ji'guang'pao 蓄电激光炮
'xu'ruo 虚弱
'xu'ruo'yong'shi 虚弱勇士
'xu'wu'zhi'qiu 虚无之球
'xu'zu'de'qu'mo'zhu 虚祖的驱魔珠
'xuan'feng'tui 旋风腿
'xuan'kong'cheng 悬空城
'xuan'wen'fa'she 炫纹发射
'xuan'wu 玄武
'xuan'wu'ming'tian 玄武鸣天
'xuan'ze'qi'ta'di'xia'cheng 选择其他地下城
'xue'beng'la'bi'na 雪崩拉比纳
'xue'di'shi 血滴石
'xue'hu'de'mao'pi 雪虎的毛皮
'xue'ji'shou'tao 血祭手套
'xue'ling'you'an'bang'tui 血灵幽暗绑腿
'xue'ling'you'an'hu'jian 血灵幽暗护肩
'xue'ling'you'an'xiong'jia 血灵幽暗胸甲
'xue'qi'fen'liu 血气分流
'xue'qi'huan'xing 血气唤醒
'xue'qi'wang'sheng 血气旺盛
'xue'rong'tao'zhuang 血熔套装
'xue'tu'de'li'fu'tao'zhuang 学徒的礼服套装
'xue'tu'de'li'wu'hu'jian 学徒的礼物护肩
'xue'zhi'kuang'bao 血之狂暴
'xun'su 迅速
'xun'zhang 勋章
'ya'de'yan 亚得炎
'ya'de'yan 亚德炎
'ya'meng'shang'ceng 亚蒙上层
'ya'meng'xia'ceng 亚蒙下层
'ya'suo'jiao'nang 压缩胶囊
'ya'zhi'fu 压制符
'yan'chi'zi'bao 延迟自爆
'yan'mie'hei'dong 湮灭黑洞
'yan'shi'ju'ren 岩石巨人
'yan'shi'ku'lou 岩石骷髅
'yan'shi'ren'ou'shi 岩石人偶师
'yan'shi'ren'xing'shi 岩石人型师
'yan'yu'shi 岩狱石
'yan'yu'shi'duan'jian 岩狱石短剑
'yan'yu'shi'ju'jian 岩狱石巨剑
'yan'yu'shi'tai'dao 岩狱石太刀
'yan'zhi'gu'la'de 炎之古拉德
'yao'bian'de'shi'tou 妖变的石头
'yao'jing 耀晶
'yao'yan'de'jie'jing 耀眼的结晶
'yao'yan'jie'jing 耀眼结晶
'ye'cao'mei 野草莓
'ye'cha 夜叉
'ye'cha'wang 夜叉王
'ye'man'chong'zhuang 野蛮冲撞
'ye'man'niu'zu'yong'shi'ai'mu'li 野蛮牛族勇士艾穆利
'ye'man'niu'zu'yong'shi'ba'si'tu'lu 野蛮牛族勇士巴斯图鲁
'ye'niu'pi'tao'zhuang 野牛皮套装
'ye'shou'shi'lu'wu'ge 野兽师鲁乌格
'yi'dong'hui'xuan'jiao 移动回旋脚
'yi'dong'hui'xuan'ti 移动回旋踢
'yi'dong'she'ji 移动射击
'yi'dong'shi'fa 移动施法
'yi'jia'bei'la 伊伽贝拉
'yi'li'si 伊丽丝
'yi'long 翼龙
'yi'mian 异面
'yi'nian'jing'tong 意念精通
'yi'nian'qu'dong 意念驱动
'yi'shan 一闪
'yi'wang'ji'yi'quan'tao 遗忘记忆拳套
'yi'xi'si 依西斯
'yin'bao 引爆
'yin'dan 银弹
'yin'dian 银淀
'yin'diao'xiang 银雕像
'yin'ding 银锭
'yin'guang'luo'ren 银光落刃
'yin'hang 银行
'yin'li'pao 引力炮
'yin'ren 银刃
'yin'zhang 印章
'ying'guang'mao'de'gu'fen 荧光猫的骨粉
'ying'guang'mao'yao 荧光猫妖
'ying'guang'mao'yao'de'gu'fen 荧光猫妖的骨粉
'ying'hua'ji 硬化剂
'ying'shi 萤石
'ying'ta 鹰踏
'ying'yong'shou'hu 英勇守护
'ying'zhi 硬直
'ying'zhi'dan 硬直弹
'yong'gan'zhe'tao'zhuang 勇敢者套装
'yong'shi'ji 勇士级
'you'an'mi'lin 幽暗密林
'you'an'mi'lin'shen'chu 幽暗密林深处
'you'xi'jun'tuan 游戏军团
'you'xia'kai'li 游侠凯利
'yu'xue'mo'shen 狱血魔神
'yuan'cheng'ge'dang 远程格挡
'yuan'ding 园丁
'yuan'ding'lu'er 园丁鲁尔
'yuan'gu'bing'yin 远古冰银
'yuan'gu'ji'yi 远古记忆
'yuan'gu'mo'fa'shu 远古魔法书
'yuan'gu'pao'dan 远古炮弹
'yuan'gu'xuan'mo 远古旋魔
'yuan'hun 冤魂
'yuan'ling 怨灵
'yuan'su'dian'ran 元素点燃
'yuan'su'jie'jing 元素结晶
'yuan'su'mo'fa 元素魔法
'yuan'su'shi 元素师
'yuan'wu'gun 圆舞棍
'yue'guang'zhan 月光斩
'yue'hai'bi'mo 月海碧魔
'yue'xiang 跃翔
'yue'ya'long'gu'gun 月牙龙骨棍
'zai'ci'tiao'zhan 再次挑战
'zeng'jia 增加
'zeng'jia'an'kang 增加暗抗
'zeng'jia'bing'kang 增加冰抗
'zeng'jia'gong'su 增加攻速
'zeng'jia'guang'kang 增加光抗
'zeng'jia'hui'bi 增加回避
'zeng'jia'huo'kang 增加火抗
'zeng'jia'mo'bao 增加魔暴
'zeng'jia'shi'fang 增加施放
'zeng'jia'tiao'yue 增加跳跃
'zeng'jia'wu'bao 增加物暴
'zeng'jia'yi'dong 增加移动
'zeng'jia'ying'zhi 增加硬直
'zha'ka'xi'ya 扎卡西亚
'zhan'dou'fa'shi 战斗法师
'zhan'dou'pi'jia'zhuan'jing 战斗皮甲专精
'zhan'fa 战法
'zhan'fu 战斧
'zhan'yin 战印
'zhan'ying 斩影
'zhang'yu'guai 章鱼怪
'zhao'huan 召唤
'zhao'huan'shi 召唤师
'zhao'huan'shou 召唤兽
'zhao'jing'tong 爪精通
'zheng'fu'zhe'dao'ge 征服者刀葛
'zheng'qi'zhi'po'mo'shi 蒸汽之破魔石
'zheng'yi 正义
'zhi'hui'zhi'shi 智慧之石
'zhi'li 智力
'zhi'shu 指数
'zhi'xing'mo'he 织星魔盒
'zhi'yan'fan'tian'jian 炙炎梵天剑
'zhi'ye 职业
'zhi'yuan 支援
'zhi'zhu'dong'xue 蜘蛛洞穴
'zhi'zun'qian'wang 至尊签王
'zhong'du 中毒
'zhong'du'hui'fu'ji 中毒恢复剂
'zhong'huo'qi 重火器
'zhong'huo'qi'ao'yi 重火器奥义
'zhong'huo'qi'ba'ji 重火器拔击
'zhong'huo'qi'jing'tong 重火器精通
'zhong'ji 中级
'zhong'jia 重甲
'zhong'jia'jing'tong 重甲精通
'zhu'dong'ji'neng 主动技能
'zhu'feng 逐风
'zhu'ma'de'hua'ye 苎麻的花叶
'zhua'hong'pao 抓轰炮
'zhua'qu'ao'yi 抓取奥义
'zhua'zi 爪子
'zhuan'xi 砖袭
'zhuan'zhi 转职
'zhuang'ban 装扮
'zhuang'bei'pin'ji'tiao'zheng'xiang 装备品级调整箱
'zhuang'bei'she'ji'tu 装备设计图
'zhuang'tai 状态
'zhui'ji'zhe 追击者
'zhui'jia 追加
'zhuo'shang 灼伤
'zi'bao'zhe 自爆者
'zi'dong'fan'ji 自动反击
'zi'dong'ge'dang 自动格挡
'zi'dong'shou'qiang 自动手枪
'zi'guang 紫光
'zi'ju 紫巨
'zi'ma'nao 紫玛瑙
'zi'se'zhuang'bei 紫色装备
'zi'tai 紫太
'zi'wu'qi 紫武器
'zi'zhuang 紫装
'zou'huo'ru'mo 走火入魔
'zu'ji'qiang 阻击枪
'zui'da'fu'zhong 最大负重
'zui'da'zhi 最大值
